Отображаемое название в CRM,UTM_SOURCE,Описание,Домен,Канал привлечения,UTM_MEDIUM,Условия,Способ обращения,UTM_CAMPAIGN,Русская фамилия,Дополнительно
Instagram @doctor.oleynik,instagram_oleynik,Весь Direct + ссылки из профиля основного IG,footclinic.ru,Платная реклама,cpc,utm_source=google_ads или gclid,Call 8800,,,Если стартовое сообщение директе инстаграмм "Добрый день" Поставить utm_medium-cpc
Instagram @mios_ortopedia,instagram_mios,Direct второго аккаунта,doctoroleynik.com,Органика / прямой,organic,Пустой utm_medium и реферер из поисковика или пустой referrer,Call,zakharov,Муратова,
VK МИОС,vk_mios,ЛС, лид-формы сообщества,renovatio-landing.ru (пример),Партнёр / врач,referral,utm_medium=referral в ссылке,Callback,Разумова,
VK таргет,Vk_target,,(любой другой ваш домен),CPA-сети,partner,Ссылки из агентских сетей (если добавятся),WA 1182,Кованько,
Telegram-канал/бот,telegram,Переход из TG-канала или бота,(пусто / null),Оффлайн,offline,Телефонный звонок, QR, баннер, Callback, WhatsApp-ссылка без UTM,WA 1182 (Wazzup),Захаров,
Google Ads,google_ads,Платный поиск / КМС,,E-mail,e-mail,utm_medium=e-mail,WA 4510,Блинов,
Яндекс Ads,yandex_ads,Платный поиск,,Другое,other,Fallback, если ничего не подошло,WA 5115,Трубин,
НаПоправку,napopravku,Площадка-каталог,, , ,URL napopravku.ru,WA 888,Биназаров,
ПроДокторов,prodoctorov,Площадка-каталог,, , ,URL prodoctorov.ru,TG Bot,Попрыгаев,
Сберздоровье,sberhealth,Площадка-каталог,, , ,URL sberhealth.ru,TG personal 4510 (OMS),Олейник,
2 GIS,2gis,Карточка 2 GIS,, , ,URL 2gis.ru / call-tracking,Direct IG @doctor.oleynik,Добродушкин,
Doctu.ru,doctu,Каталог Doctu,, , ,URL doctu.ru,Direct IG @mios_ortopedia,Доктор сторонний,
YouTube,youtube,Ссылки с канала Footclinic,, , ,URL/UTM-метка в описании,VK Direct, … (добавляете новые),
Баннер / QR,banner,Оффлайн наружка,, , ,QR-метка с utm_source=banner,CRM-форма,,
Сарафан,referral,Рекомендация врача/пациента,, , ,utm_source=referral или скрипт,Offline,,
Повторный пациент,repeat,Старый клиент,, , ,Чекбокс «повторный» / REPEAT_SALE,Quiz,,
Прямой заход,direct_none,URL без UTM, пустой referrer,, , ,Скрипт fallback,Email,,
Реактивирован из базы,reactivation,Создан,, , , ,Manual,,
Рекомендация от врача,doc_recomend,,,,,,,,
регистратура РАН,ran,,,,,,,,
Рекомендация других врачей,svoi_doc,,,,,,Repeat,,,
Facebook,FB,,,,,,,,
google,google,,,,,,,,
